Fish Name,Thai Fish Name,Scientific Name,Order Name,General Description,Physical Description,habitat,Avg Length(cm),Avg Age(years),Avg DepthLevel(m),Avg Weight(kg)
Brownbanded bamboo shark,ปลาฉลามกบ,Chiloscyllium punctatum,Orectolobiformes,"A small nocturnal shark found in Indo-West Pacific coral reefs and tide pools. Adults are brownish while juveniles display distinct dark bands. Classified as Near Threatened, commonly bred in aquariums due to docile nature.","body: The Brownbanded bamboo shark has a slender, elongated body, typically growing to a length of 40-60 inches (100-150 cm) and weighing up to 11 pounds (5 kg), with a maximum recorded length of approximately 74 inches (188 cm); colors: The species has a brown or yellowish-brown color with 10-12 horizontal dark brown stripes or bands running along its body, the stripes tend to fade as the shark matures, and the belly is pale yellow or cream-colored; features: The shark has a broad, flat head with a short, blunt snout, and its eyes are relatively small, the dorsal fins are set far back on the body and are nearly equal in size, the pectoral fins are broad and triangular, and the anal fin is larger than the second dorsal fin; unique_marks: The distinctive horizontal stripes and bands, along with its slender body and broad head, serve as unique identifying characteristics for the Brownbanded bamboo shark.",Coral reefs and tide pools in Indo-West Pacific from Japan to northern Australia,104,25,85,2.5
Whale shark,ปลาฉลามวาฬ,Rhincodon typus,Orectolobiformes,"The world's largest fish species, reaching up to 18.8m. A gentle filter-feeder that feeds on plankton and small fish in tropical oceans. Classified as Endangered, known for distinctive white spotted pattern on dark grey skin.","body: The whale shark has a broad, flat head and a long, slender body that is typically cigar-shaped, with three prominent ridges running along its sides, and can grow up to 20 meters in length, making it the largest fish in the world, but the average length is around 12-14 meters; colors: The whale shark has a distinctive color pattern, with a grayish-blue back and white belly, and three prominent longitudinal stripes, along with numerous white spots and stripes, that can vary in pattern and color intensity; features: The whale shark has a large mouth that is wide enough to take in huge amounts of water and plankton, a dorsal fin located near the tail, and a large tail fin that is crescent-shaped, with a distinctive pattern of spots and stripes, it also has a dermal denticle skin that is rough to the touch; unique_marks: A unique pattern of spots and stripes, similar to fingerprints in humans, that can be used to identify individual whale sharks, and a distinctive white patch on the tip of the snout, that is often used as a distinguishing feature.","Open waters of tropical and warm-temperate seas, primarily pelagic in coastal and oceanic habitats",1200,100,1900,15000
Zebra shark,ปลาฉลามลายเสือดาว,Stegostoma fasciatum,Orectolobiformes,A distinctive carpet shark with dark spots on pale background in adults and vertical stripes in juveniles. Nocturnal bottom-dweller that feeds on molluscs and crustaceans. Classified as Endangered due to commercial fishing pressure.,"body: The zebra shark has a stout body, with a broad, flat head and a short, blunt snout, it can grow up to 2.5 meters in length and weigh up to 30 kilograms, its body is somewhat cylindrical in shape, with a rounded abdomen and a tapering tail; colors: The zebra shark has a distinctive coloration pattern, with a yellowish-brown body covered in dark brown or black vertical stripes, the stripes are more pronounced in juveniles and fade with age, becoming spots or blotches in adults; features: The zebra shark has a distinctive pattern of ridges and spines on its body, it has a dorsal fin located near the rear of the body, a small anal fin, and a long, slender tail with a crescent-shaped caudal fin, its scales are small and rough, with a distinctive pattern of tiny spines; unique_marks: One of the unique identifying characteristics of the zebra shark is the distinctive pattern of spots or stripes on its body, which can be used to distinguish it from other shark species, it also has a distinctive pattern of ridges and spines on its body, and a long, slender tail with a crescent-shaped caudal fin.",Coral reefs and sandy flats in tropical Indo-Pacific from intertidal zone to 62m depth,250,27,62,35
Coral catshark,ปลาฉลามลายหินอ่อน,Atelomycterus marmoratus,Carcharhiniformes,A small nocturnal catshark with extremely slender body inhabiting shallow coral reefs. Features distinctive black and white spotted pattern forming horizontal bars. Classified as Near Threatened due to fishing pressure and habitat degradation.,"body: The Coral catshark has a slender, elongated body that is typically brownish or yellowish in color with a flattened head and a long, narrow snout, reaching lengths of approximately 30-60 centimeters; colors: They have a mottled brown or yellowish coloration pattern with numerous small, darker spots or blotches and a distinctive pattern of darker spots or saddles along the back; features: They have a distinctive head shape with a long, narrow snout, a small mouth, and a pair of small, dorsally located eyes, with two dorsal fins, the first dorsal fin being slightly larger than the second, and a caudal fin with a long, pointed tip; unique_marks: A unique identifying characteristic of the Coral catshark is the presence of a distinctive pattern of small, darker spots or blotches on the body, and a series of small, tooth-like scales called denticles on the skin, which give them a rough texture.",Shallow coral reefs in Indo-West Pacific from Pakistan to New Guinea at depths not exceeding 15m,70,20,15,1.5
Blacktip reef shark,ปลาฉลามครีบดำ,Carcharhinus melanopterus,Carcharhiniformes,A fast-swimming requiem shark easily identified by prominent black tips on fins. Common in shallow tropical coral reefs across Indo-Pacific. Active predator with small home ranges and strong site fidelity. Classified as Near Threatened.,"body: The Blacktip reef shark has a slender, streamlined body, typically ranging in length from 1.5 to 1.8 meters (4.9 to 5.9 feet) and weighing up to 13 kilograms (29 pounds), with a maximum recorded length of approximately 2 meters (6.6 feet); colors: The Blacktip reef shark has a metallic blue-gray back, white belly, and distinctive black tips on its fins, which fade with age, while juveniles often have yellow or white tips on their fins; features: It has a pointed snout, relatively small eyes, and a crescent-shaped tail, with a distinctive white-tipped anal fin and a first dorsal fin that is triangular and pointed; unique_marks: The most distinctive feature of the Blacktip reef shark is the presence of black tips on its fins, particularly the first dorsal fin, which is often used for identification purposes.","Shallow inshore waters of tropical coral reefs in Indo-Pacific, typically only few meters deep with dorsal fin often exposed",160,15,75,13.6
Whitetip reef shark,ปลาฉลามครีบขาว,Triaenodon obesus,Carcharhiniformes,A small requiem shark with distinctive white-tipped dorsal and caudal fins. Rests in caves during day and hunts at night. Highly localized with strong site fidelity. Classified as Near Threatened due to overfishing pressure.,"body: The Whitetip reef shark has a slender, streamlined body that is typically 1.5 to 1.8 meters in length, with a maximum recorded length of 2.1 meters and a weight of up to 18 kilograms; colors: The shark has a grayish-brown back and white underside, with distinctive white tips on its fins, which fade as the shark matures; features: The Whitetip reef shark has a broad, flat head with a short, blunt snout, and a distinctive hump on the snout, its dorsal fin is relatively small and triangular, and its anal fin is smaller than the second dorsal fin, the shark has dermal denticles that provide a rough texture to its skin; unique_marks: The most distinctive feature of the Whitetip reef shark is the white tip on its first dorsal fin, as well as its caudal, anal, and pectoral fins, although these tips may fade with age, the shark's slender body and distinctive snout hump also make it easily identifiable.","Coral reef habitats in Indo-Pacific, around coral heads and ledges with high vertical relief, clear water at 8-40m depth",160,16,40,18.3
Leopard shark,ปลาฉลามลายเสือดาว,Triakis semifasciata,Carcharhiniformes,A houndshark found along Pacific coast of North America with distinctive black saddle-like markings and spots. Forms large schools in bays and estuaries. Active predator foraging on mudflats. Classified as Least Concern.,"body: The leopard shark has a moderately stout body, typically ranging in length from 3 to 7 feet and weighing up to 40 pounds, with a maximum recorded length of around 8 feet; colors: The leopard shark has a distinctive coloration pattern featuring a brownish-gray to bronze back and white belly, with numerous dark brown to black spots and saddles along its back, and white spots on its fins; features: The leopard shark has a broad, flat head, a short, blunt snout, and a crescent-shaped caudal fin, with a first dorsal fin that is slightly smaller than the second dorsal fin, and a distinctive pattern of dermal denticles, or tooth-like scales, that cover its body; unique_marks: One of the most distinctive identifying characteristics of the leopard shark is the unique pattern of spots and saddles on its back, which can be used to identify individual animals, as well as its distinctive head shape and the presence of a distinctive interdorsal ridge, a raised area of skin that runs between the two dorsal fins.","Muddy or sandy flats in enclosed bays and estuaries along Pacific coast from Oregon to Mexico, most abundant intertidal to 4m depth",135,30,91,18.4
Spotted eagle ray,ปลากระเบนค้างคาว,Aetobatus narinari,Myliobatiformes,A large cartilaginous ray with distinctive flat disk-shaped body and long whip-like tail. Features dark dorsal surface with white spots and venomous stingers. Known for spectacular leaping behavior. Classified as Near Threatened.,"body: The Spotted eagle ray has a broad, flat disc-shaped body with a diamond-shaped outline, and a long, pointed snout; adults can grow up to 2.5 meters in width and 3.5 meters in length, with a maximum weight of around 230 kilograms; features: The Spotted eagle ray has large, wing-like pectoral fins that allow it to swim efficiently, a long, slender tail with a venomous spine near the base, and small, bead-like scales called denticles; colors: The upper side of the Spotted eagle ray is brown or gray with white or yellowish spots, while the underside is white or pale yellow; unique_marks: The distinctive white or yellowish spots on the upper side of the Spotted eagle ray, along with its long, pointed snout and large pectoral fins, make it easily identifiable.","Shallow coastal waters by coral reefs and bays in tropical Atlantic Ocean, swimming freely in open waters often near surface",500,25,80,230
Manta ray,ปลากระเบนราหู,Manta birostris,Myliobatiformes,The largest ray species with triangular pectoral fins and distinctive horn-shaped cephalic fins. Filter-feeder consuming zooplankton and deep-sea organisms. Known for breaching behavior and intelligence. Classified as Vulnerable to extinction.,"body: The Manta ray has a broad, flat body with a diamond-shaped outline, typically measuring between 3.7 to 7 meters in width and weighing up to 2,300 kilograms, with the largest specimens reaching up to 9 meters in width; colors: Manta rays usually have a black or dark gray back with white or pale gray underbelly, and sometimes have white or gray spots or patches on their back; features: They have large, triangular pectoral fins, a long, pointed snout, and a distinctive horn-like cephalic fin on either side of their head, with a small dorsal fin and no tail fin or scales; unique_marks: A unique pattern of spots or blotches on the belly, which can be used to identify individual Manta rays, and a series of gill slits on the underside of their head that are used for filter feeding.","Tropical and subtropical waters worldwide, pelagic species migrating across open oceans, surface waters during day and deeper at night",700,50,1000,1350
Kuhl's maskray,กระเบนจุดฟ้า,Neotrygon kuhlii,Myliobatiformes,A distinctive stingray with rhomboidal body and bright coloration serving as warning for venomous spines. Dark green with blue spots and white underbelly. Popular in aquaria. Rarely buries in sand unlike most stingrays.,"body: The Kuhl's maskray has a rounded pectoral disc, with a length that is about 1.1-1.2 times its width, and the disc is slightly wider than it is long, the species can grow up to a maximum length of about 70 cm; colors: The Kuhl's maskray is typically brown or yellowish-brown on the dorsal surface, often with a distinctive dark brown or black mask-like marking around the eyes, and a pale yellowish or white belly; features: The species has a long and pointed snout, a small mouth with several rows of small teeth, and a distinctive pair of small dorsal fins located near the tail, the tail itself is long and slender; unique_marks: The distinctive mask-like marking around the eyes is a key identifying characteristic, along with the presence of a small tubercle on the underside of the disc, just behind the mouth.","Sand and mudflats, rocky coral reefs, and seagrass beds in tropical Indo-Pacific waters from Indonesia to Japan and northern Australia, depths 0-90m",47,11,90,2
Bluespotted ribbontail ray,ปลากระเบนคาดฟ้า,Taeniura lymma,Myliobatiformes,A beautiful small stingray with electric blue spots on yellowish background and blue tail stripes. Nocturnal feeder following tides onto sandy flats. Hides in caves during day. Popular but challenging in aquarium trade. Classified as Near Threatened.,"body: The Bluespotted ribbontail ray has a broad, diamond-shaped body with a rounded snout and a long, slender tail that is about 1.5 times the length of its body, typically growing up to 35 cm in width and 70 cm in length; colors: Its dorsal side is brownish-yellow to olive-brown with bright blue spots, while its ventral side is white or pale yellow, with a distinctive blue stripe running along the edges of its disc; features: It has a pair of relatively long and slender pectoral fins, a low dorsal fin located near the tail, and a small caudal fin; unique_marks: The Bluespotted ribbontail ray is easily recognizable by its bright blue spots, long tail, and distinctive blue stripe along the edges of its disc, as well as the presence of a series of small, thorn-like spines running along the midline of its back.","Coral reefs and adjacent sandy flats in tropical Indo-Pacific from intertidal zone to 30m depth, common in tidal pools and near seagrass beds",35,15,30,5
Bowmouth guitarfish,ปลากระเบนหัวคันธนู,Rhina ancylostoma,Rhinopristiformes,"A rare, heavily built ray with a rounded snout, shark-like fins, and thorny ridges. Found in tropical Indo-Pacific coastal waters, it preys on fish and crustaceans. Critically endangered due to fishing and habitat loss; adapts well to captivity.","body: The Bowmouth guitarfish has a broad and flattened body, with a distinctive bow-shaped mouth and a long, pointed snout, typically growing to an average length of 100-150 cm (3.3-4.9 ft) and weighing up to 27 kg (59.5 lbs); colors: The species has a mottled brown and yellowish-brown coloration, often featuring darker brown or greyish-brown blotches and spots, with a lighter-colored belly and darker-colored back; features: The Bowmouth guitarfish has a distinctive pair of pectoral fins that resemble the shape of a guitar, a long dorsal fin, and a relatively small anal fin, with rough, sandpapery skin and small, blunt teeth; unique_marks: A distinctive characteristic of the Bowmouth guitarfish is the presence of a pair of lateral extensions on either side of the head, which resemble a pair of 'horns', along with the bow-shaped mouth and the guitar-like pectoral fins.","Sandy or muddy sea floors near reefs and underwater structures in western Indo-Pacific, 3–90 m depth.",270,25,90,135
