Fish Name,Physical Description,Object Names
Brownbanded bamboo shark,"body: The Brownbanded bamboo shark has a slender, elongated body, typically growing to a length of 40-60 inches (100-150 cm) and weighing up to 11 pounds (5 kg), with a maximum recorded length of approximately 74 inches (188 cm); colors: The species has a brown or yellowish-brown color with 10-12 horizontal dark brown stripes or bands running along its body, the stripes tend to fade as the shark matures, and the belly is pale yellow or cream-colored; features: The shark has a broad, flat head with a short, blunt snout, and its eyes are relatively small, the dorsal fins are set far back on the body and are nearly equal in size, the pectoral fins are broad and triangular, and the anal fin is larger than the second dorsal fin; unique_marks: The distinctive horizontal stripes and bands, along with its slender body and broad head, serve as unique identifying characteristics for the Brownbanded bamboo shark.","fish_images/Brownbanded-bamboo-shark/brownbanded-bamboo-shark-001.png, fish_images/Brownbanded-bamboo-shark/brownbanded-bamboo-shark-002.png, fish_images/Brownbanded-bamboo-shark/brownbanded-bamboo-shark-003.png"
Whale shark,"body: The whale shark has a broad, flat head and a long, slender body that is typically cigar-shaped, with three prominent ridges running along its sides, and can grow up to 20 meters in length, making it the largest fish in the world, but the average length is around 12-14 meters; colors: The whale shark has a distinctive color pattern, with a grayish-blue back and white belly, and three prominent longitudinal stripes, along with numerous white spots and stripes, that can vary in pattern and color intensity; features: The whale shark has a large mouth that is wide enough to take in huge amounts of water and plankton, a dorsal fin located near the tail, and a large tail fin that is crescent-shaped, with a distinctive pattern of spots and stripes, it also has a dermal denticle skin that is rough to the touch; unique_marks: A unique pattern of spots and stripes, similar to fingerprints in humans, that can be used to identify individual whale sharks, and a distinctive white patch on the tip of the snout, that is often used as a distinguishing feature.","fish_images/Whale-shark/whale-shark-001.png, fish_images/Whale-shark/whale-shark-002.png, fish_images/Whale-shark/whale-shark-003.png"
Zebra shark,"body: The zebra shark has a stout body, with a broad, flat head and a short, blunt snout, it can grow up to 2.5 meters in length and weigh up to 30 kilograms, its body is somewhat cylindrical in shape, with a rounded abdomen and a tapering tail; colors: The zebra shark has a distinctive coloration pattern, with a yellowish-brown body covered in dark brown or black vertical stripes, the stripes are more pronounced in juveniles and fade with age, becoming spots or blotches in adults; features: The zebra shark has a distinctive pattern of ridges and spines on its body, it has a dorsal fin located near the rear of the body, a small anal fin, and a long, slender tail with a crescent-shaped caudal fin, its scales are small and rough, with a distinctive pattern of tiny spines; unique_marks: One of the unique identifying characteristics of the zebra shark is the distinctive pattern of spots or stripes on its body, which can be used to distinguish it from other shark species, it also has a distinctive pattern of ridges and spines on its body, and a long, slender tail with a crescent-shaped caudal fin.","fish_images/Zebra-shark/zebra-shark-001.png, fish_images/Zebra-shark/zebra-shark-002.png, fish_images/Zebra-shark/zebra-shark-003.png"
Coral catshark,"body: The Coral catshark has a slender, elongated body that is typically brownish or yellowish in color with a flattened head and a long, narrow snout, reaching lengths of approximately 30-60 centimeters; colors: They have a mottled brown or yellowish coloration pattern with numerous small, darker spots or blotches and a distinctive pattern of darker spots or saddles along the back; features: They have a distinctive head shape with a long, narrow snout, a small mouth, and a pair of small, dorsally located eyes, with two dorsal fins, the first dorsal fin being slightly larger than the second, and a caudal fin with a long, pointed tip; unique_marks: A unique identifying characteristic of the Coral catshark is the presence of a distinctive pattern of small, darker spots or blotches on the body, and a series of small, tooth-like scales called denticles on the skin, which give them a rough texture.","fish_images/Coral-catshark/coral-catshark-001.png, fish_images/Coral-catshark/coral-catshark-002.png, fish_images/Coral-catshark/coral-catshark-003.png"
Blacktip reef shark,"body: The Blacktip reef shark has a slender, streamlined body, typically ranging in length from 1.5 to 1.8 meters (4.9 to 5.9 feet) and weighing up to 13 kilograms (29 pounds), with a maximum recorded length of approximately 2 meters (6.6 feet); colors: The Blacktip reef shark has a metallic blue-gray back, white belly, and distinctive black tips on its fins, which fade with age, while juveniles often have yellow or white tips on their fins; features: It has a pointed snout, relatively small eyes, and a crescent-shaped tail, with a distinctive white-tipped anal fin and a first dorsal fin that is triangular and pointed; unique_marks: The most distinctive feature of the Blacktip reef shark is the presence of black tips on its fins, particularly the first dorsal fin, which is often used for identification purposes.","fish_images/Blacktip-reef-shark/blacktip-reef-shark-001.png, fish_images/Blacktip-reef-shark/blacktip-reef-shark-002.png, fish_images/Blacktip-reef-shark/blacktip-reef-shark-003.png"
Whitetip reef shark,"body: The Whitetip reef shark has a slender, streamlined body that is typically 1.5 to 1.8 meters in length, with a maximum recorded length of 2.1 meters and a weight of up to 18 kilograms; colors: The shark has a grayish-brown back and white underside, with distinctive white tips on its fins, which fade as the shark matures; features: The Whitetip reef shark has a broad, flat head with a short, blunt snout, and a distinctive hump on the snout, its dorsal fin is relatively small and triangular, and its anal fin is smaller than the second dorsal fin, the shark has dermal denticles that provide a rough texture to its skin; unique_marks: The most distinctive feature of the Whitetip reef shark is the white tip on its first dorsal fin, as well as its caudal, anal, and pectoral fins, although these tips may fade with age, the shark's slender body and distinctive snout hump also make it easily identifiable.","fish_images/Whitetip-reef-shark/whitetip-reef-shark-001.png, fish_images/Whitetip-reef-shark/whitetip-reef-shark-002.png, fish_images/Whitetip-reef-shark/whitetip-reef-shark-003.png"
Leopard shark,"body: The leopard shark has a moderately stout body, typically ranging in length from 3 to 7 feet and weighing up to 40 pounds, with a maximum recorded length of around 8 feet; colors: The leopard shark has a distinctive coloration pattern featuring a brownish-gray to bronze back and white belly, with numerous dark brown to black spots and saddles along its back, and white spots on its fins; features: The leopard shark has a broad, flat head, a short, blunt snout, and a crescent-shaped caudal fin, with a first dorsal fin that is slightly smaller than the second dorsal fin, and a distinctive pattern of dermal denticles, or tooth-like scales, that cover its body; unique_marks: One of the most distinctive identifying characteristics of the leopard shark is the unique pattern of spots and saddles on its back, which can be used to identify individual animals, as well as its distinctive head shape and the presence of a distinctive interdorsal ridge, a raised area of skin that runs between the two dorsal fins.","fish_images/Leopard-shark/leopard-shark-001.png, fish_images/Leopard-shark/leopard-shark-002.png, fish_images/Leopard-shark/leopard-shark-003.png"
Spotted eagle ray,"body: The Spotted eagle ray has a broad, flat disc-shaped body with a diamond-shaped outline, and a long, pointed snout; adults can grow up to 2.5 meters in width and 3.5 meters in length, with a maximum weight of around 230 kilograms; features: The Spotted eagle ray has large, wing-like pectoral fins that allow it to swim efficiently, a long, slender tail with a venomous spine near the base, and small, bead-like scales called denticles; colors: The upper side of the Spotted eagle ray is brown or gray with white or yellowish spots, while the underside is white or pale yellow; unique_marks: The distinctive white or yellowish spots on the upper side of the Spotted eagle ray, along with its long, pointed snout and large pectoral fins, make it easily identifiable.","fish_images/Spotted-eagle-ray/spotted-eagle-ray-001.png, fish_images/Spotted-eagle-ray/spotted-eagle-ray-002.png, fish_images/Spotted-eagle-ray/spotted-eagle-ray-003.png"
Manta ray,"body: The Manta ray has a broad, flat body with a diamond-shaped outline, typically measuring between 3.7 to 7 meters in width and weighing up to 2,300 kilograms, with the largest specimens reaching up to 9 meters in width; colors: Manta rays usually have a black or dark gray back with white or pale gray underbelly, and sometimes have white or gray spots or patches on their back; features: They have large, triangular pectoral fins, a long, pointed snout, and a distinctive horn-like cephalic fin on either side of their head, with a small dorsal fin and no tail fin or scales; unique_marks: A unique pattern of spots or blotches on the belly, which can be used to identify individual Manta rays, and a series of gill slits on the underside of their head that are used for filter feeding.","fish_images/Manta-ray/manta-ray-001.png, fish_images/Manta-ray/manta-ray-002.png, fish_images/Manta-ray/manta-ray-003.png"
Kuhl's maskray,"body: The Kuhl's maskray has a rounded pectoral disc, with a length that is about 1.1-1.2 times its width, and the disc is slightly wider than it is long, the species can grow up to a maximum length of about 70 cm; colors: The Kuhl's maskray is typically brown or yellowish-brown on the dorsal surface, often with a distinctive dark brown or black mask-like marking around the eyes, and a pale yellowish or white belly; features: The species has a long and pointed snout, a small mouth with several rows of small teeth, and a distinctive pair of small dorsal fins located near the tail, the tail itself is long and slender; unique_marks: The distinctive mask-like marking around the eyes is a key identifying characteristic, along with the presence of a small tubercle on the underside of the disc, just behind the mouth.","fish_images/Kuhl's-maskray/kuhl's-maskray-001.png, fish_images/Kuhl's-maskray/kuhl's-maskray-002.png, fish_images/Kuhl's-maskray/kuhl's-maskray-003.png"
